var			desc
yearval		TOTAL DOLLAR VALUE OF PAYMENTS IN THAT YEAR
seecowrk	HOW EASY TO SEE WHETHER CO-WORKERS WORKING
cowrkhrd	HOW HARD TO SAY HOW PEOPLE WORK AT WORKPLACE
talkemp		HOW LIKELY TO TALK DIRECTLY IF COWORKER NOT WORK
talksup		HOW LIKELY TO SPEAK SUPERVISOR IF COWORKER NOT W
donothng	HOW LIKELY TO DO NOTHING IF COWORKER NOT WORKING
numemps		NUMBER OF EMPLOYEE FOR THE SELF-EMPLOYED
relneg		ANY TURNING POINT WHEN LESS COMMITTED TO RELIGION
newsfrom	MAIN SOURCE OF INFORMATION ABOUT EVENTS IN THE NEWS
scifrom		MAIN SOURCE OF INFORMATION ABOUT SCIENCE AND TECHNOLOGY
seeksci		PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
nextgen		SCIENCE & TECH. GIVE MORE OPPORTUNITIES TO NEXT GENERATION
toofast		SCIENCE MAKES OUR WAY OF LIFE CHANGE TO FAST
advfront	SCI RSCH IS NECESSARY AND SHOULD BE SUPPORTED BY FEDERAL GOVT
scispec		SCIENCE IS TOO CONCERNED WITH THEORY AND SPECULATION
leadsci		SHLD PAY ATTNTN ONLY TO THEORY ACCEPTED BY LEADING SCIENTISTS
whichsci	INDUSTRY SCIENTISTS LESS RELIABLE THAN UNIVERSITY SCIENTISTS
astrolgy	EVER READ A HORSCOPE OR PERSOANL ASTROLOGY REPORT
astrosci	ASTROLOGY IS SCIENTIFIC
scibnfts	BENEFITS OF SCI RESEARCH OUTWEIGHT HARMFUL RESULTS
balpos		SCI RESEARCH IS STRONGLY IN FAVOR OF BENEFITS
balneg		SCI RESEARCH IS STRONGLY IN FAVOR OF HARFUL RESULTS
scistudy	R HAS CLEAR UNDERSTANDING OF SCIENTIFIC STUDY
scitext		WHAT IT MEANS TO R TO STUDY STH SCIENFICALLY
expdesgn	BETTER WAY TO TEST DRUG BTW CONTROL AND NON-CONTROL
exptext		WHY IS IT BETTER TO TEST DRUG THIS WAY
odds1		TEST OF KNOWLEDGE ABOUT PROBABLITY1
odds2		TEST OF KNOWLEDGE ABOUT PROBABLITY2
hotcore		SCI KNOWLEDGE: THE CENTER OF EARTH IS VERY HOT
radioact	SCI KNOWLEDGE:ALL  RADIOACTIVITY IS MAN-MADE
boyorgrl	SCI KNOWLEDGE:FATHER GENE DECIDES SEX OF BABY
lasers		SCI KNOWLEDGE:LASERS WORK BY FOCUSING SOUND WAVES
electron	SCI KNOWLEDGE:ELECTRONS ARE SMALLER THAN ATOMS
viruses		SCI KNOWLEDGE:ANTIVIOTICS KILL VIRUSES AS WELL AS BACTERIA
bigbang		SCI KNOWLEDGE:THE UNIVERSE BEGAN WITH A HUGE EXPLOSION
condrift	SCI KNOWLEDGE:THE CONTINENTS HAVE BEEN MOVING
evolved		SCI KNOWLEDGE:HUMAN BEINGS DEVELOPED FROM ANIMALS
earthsun	SCI KNOWLEDGE:THE EARTH GOES AROUND THE SUN
solarrev	SCI KNOWLEDGE:HOW LONG THE EARTH GOES AROUND THE SUN
intrhome	INTERNET ACCESS IN R'S HOME
coldeg1		THE HIGHEST DEGREE R HAVE EARNED
majorcol	THE FIELD OF DEGREE R EARNED
colsci		R HAS TAKEN ANY COLLEGE-LEVEL SCI COURSE
colscinm	NUMBER OF COLLEGE-LEVEL SCI COURSES R HAVE TAKEN
hsmath		THE HIGHEST LEVEL OF MATH R COMPLETED IN HIGH SCHOOL
hsbio		R EVER TOOK A HIGH SCHOOL BIOLOGY COURSE
hschem		R EVER TOOK A HIGH SCHOOL CHEMISTRY COURSE
hsphys		R EVER TOOK A HIGH SCHOOL PHYSICS COURSE
gwsci		UNDERSTANDING OF GLOBAL WARMING BY ENVIRONMNT SCIENTISTS
gwpol		UNDERSTANDING OF GLOBAL WARMING BY ELECTED OFFICIALS
gwbiz		UNDERSTANDING OF GLOBAL WARMING BY BUSINESS LEADERS
sciagrgw	EXTENT OF AGREEMENT ON GLOBAL WARMING AMG ENV SCIENTISTS
sciinfgw	INFLUENCE ON GLOBAL WARMING POLICY:ENVIRONMNTAL SCIENTISTS
polinfgw	INFLUENCE ON GLOBAL WARMING POLICY:ELECTED OFFICIAL
bizinfgw	INFLUENCE ON GLOBAL WARMING POLICY:BUSINESS LEADER
scibstgw	BEST POLICY VS NARROW INTEREST:ENVIRONMENTAL SCIENTIST
polbstgw	BEST POLICY VS NARROW INTEREST:ELECTED OFFICIAL
bizbstgw	BEST POLICY VS NARROW INTEREST:BUSINESS LEADER
gasregs		HOW MUCH R FAVOR REQUIRING TO MAKE CARS USING LESS GASOLINE
scmed		HOW WELL MEDICAL RESEARCHER UNDERSTAND STEM CELLS
screlig		HOW WELL RELIGIOUS LEADER UNDERSTAND STEM CELLS
scpol		HOW WELL ELECTED OFFICIAL UNDERSTAND STEM CELLS
medagrsc	AGREEMENT BY MED RESEARCHERS ON IMPORTANCE OF STEM CELL RSCH
medinfsc	INFLUENCE ON FUNDING FOR STEM CELL RSCH:MEDICAL RESEARCHERS
relinfsc	INFLUENCE ON FUNDING FOR STEM CELL RSCH:RELIGIOUS LEADERS
polinfsc	INFLUENCE ON FUNDING FOR STEM CELL RSCH:ELECTED OFFICIALS
medbstsc	BEST POLICY ON STEM CELL VS NARROW INTEREST:MED RESEARCHER
relbstsc	BEST POLICY ON STEM CELL VS NARROW INTEREST:RELIG LEADER
polbstsc	BEST POLICY ON STEM CELL VS NARROW INTEREST:ELECTED OFFICIAL
scresrch	GOVERNMENT SHOULD FUND STEM CELL RESEARCH
txeco		HOW WELL ECONOMIST KNOW EFFECT OF REDUCING FED INCOME TAX
txbiz		HOW WELL BUSINESS LEADER KNOW EFFECT OF REDUCING FED INC TAX
txpol		HOW WELL ELECTED OFFICIAL KNOW EFFECT OF REDUCING FED INC TAX
ecoagree	AGREEMENT BY ECONOMISTS ON EFFECT OF REDUCING FED INC TAX
ecoinftx	INFLUENCE ON REDUING FED INC TAX  BY ECONOMISTS
bizinftx	INFLUENCE ON REDUING FED INC TAX  BY BUSINESS LEADERS
polinftx	INFLUENCE ON REDUING FED INC TAX  BY ELECTED OFFICIALS
ecobsttx	BEST POLICY VS NARROW INTEREST ON FED INC TAX:ECONOMIST
bizbsttx	BEST POLICY VS NARROW INTEREST ON FED INC TAX:BUSINESS LEADER
polbsttx	BEST POLICY VS NARROW INTEREST ON FED INC TAX:ELECTED OFFICIAL
gmmed		HOW WELL MED RESEARCHER KNOW RISK BY GENETICALLY MODIFIED FOODS
gmpol		HOW WELL ELECTED OFFICIAL KNOW RISK BY GENETICALLY MODIFIED FOODS
gmbiz		HOW WELL BUSINESS LEADER KNOW RISK BY GENETICALLY MODIFIED FOODS
medagrgm	MED RESEARCHER:AGREEMENT ON EFFECT OF GENETICALLY MODIFIED FOOD
medinfgm	INFLUENCE ON RESTRICTING GMF BY MEDICAL RESEARCHERS
polinfgm	INFLUENCE ON RESTRICTING GMF BY ELECTED OFFICIALS
bizinfgm	INFLUENCE ON RESTRICTING GMF BY BUSINESS LEADERS
medbstgm	BEST POLICY ON GMF VS NARROW INTEREST:MEDICAL RESEARCHER
polbstgm	BEST POLICY ON GMF VS NARROW INTEREST:ELECTED OFFICIAL
bizbstgm	BEST POLICY ON GMF VS NARROW INTEREST:BUSINESS LEADER
eatgm		R'S VIEW ABOUT EATING GENEFICALLY MODIFIED FOODS
sciimp1		HOW IMPORTANT:DONE BY SCIENTISTS IN UNIVERSITY SETTINGS
sciimp2		HOW IMPORTANT:HAVING ADVANCED DEGREES IN THEIR FIELDS
sciimp3		HOW IMPORTANT:CONCLUSION BASED ON SOLID EVIDENCE
sciimp4		HOW IMPORTANT:EXAMINING DIFFERENT INTERPRETATION OF RESULTS
sciimp5		HOW IMPORTANT:RESULTS CONSISTENT WITH RELIGIOUS BELIEFS
sciimp6		HOW IMPORTANT:RESULTS CONSISTENT WITH COMMON SENSE
sciimp7		HOW IMPORTANT:REPEATING EXPERIMENT & FINDING SAME RESULT
sciimp8		HOW IMPORTANT:RESEARCH TAKES PLACE IN A LABORATORY
socsci		HOW SCIENTIFIC: SOCIOLOGY
physcsci	HOW SCIENTIFIC: PHYSICS
histsci		HOW SCIENTIFIC: HISTORY
accntsci	HOW SCIENTIFIC: ACCOUNTING
biosci		HOW SCIENTIFIC: BIOLOGY
econsci		HOW SCIENTIFIC: ECONOMICS
medsci		HOW SCIENTIFIC: MEDICINE
engnrsci	HOW SCIENTIFIC: ENGINEERING
knwforgn	LEVEL OF R'S INFORMATION: FOREIGN POLICY
knwecon		LEVEL OF R'S INFORMATION: ECONOMIC POLICY
knwsci		LEVEL OF R'S INFORMATION: SCIENCE AND TECHNOLOGY
knwgw		LEVEL OF R'S INFORMATION: GLOBAL WARMING
knwpolar	LEVEL OF R'S INFORMATION: THE NORTH AND SOUTH POLES
tvbears		R WOULD CHOOSE TV PROGRAM ABOUT POLAR BEARS
tvinuit		R WOULD CHOOSE TV PROGRAM ABOUT NATIVE PPL IN THE ARCTIC
tvozone		R WOULD CHOOSE TV PROGRAM ABOUT OZONE HOLE OVER THE ANTARCTIC
tvmeltng	R WOULD CHOOSE TV PROGRAM ABOUT POLAR ICE MELTING
tvoil		R WOULD CHOOSE TV PROGRAM ABOUT OIL DRILLING IN THE ARCTIC
polaryr1	INTL POLAR YEAR 07-08:R WOULD WATCH A TV PROGRAM
polaryr2	INTL POLAR YEAR 07-08:R WOULD READ A NEWSPAPER ARTICLE
polaryr3	INTL POLAR YEAR 07-08:R WOULD READ A MAGAZINE ARTICLE
polaryr4	INTL POLAR YEAR 07-08:R WOULD GO TO MUSEUM
polaryr5	INTL POLAR YEAR 07-08:R WOULD WATCH A FEATURE FILM
polaryr6	INTL POLAR YEAR 07-08:R WOULD READ A BOOK
polaryr7	INTL POLAR YEAR 07-08:R WOULD VISIT A WEB SITE
polaryr8	INTL POLAR YEAR 07-08:R WOULD ATTEND A LIVE LECTURE
icesheet	TRUE-FALSE:THE NORTH POLE IS ON A SHEET OF ICE
nosun		TRUE-FALSE:THE SUN NEVER SHINES AT THE SOUTH POLE
inuit		TRUE-FALSE:INUIT LIVE NORTH OF THE ARCTIC CIRCLE
huntbear	TRUE-FALSE:HUNTING MAKE POLAR BEAR EXTINT THAN CLIMATE CHANGE
icecaps		POLAR ICE CAPS GOT LARGER OR SMALLER OVER LAST 25 YRS
comorsci	ANTARCTICA SHOULD BE RESERVED OR OPEN
extinct		EFFECT OF GLOBAL WARMING:POLAR BEARS BECOME EXTINCT
sealevel	EFFECT OF GLOBAL WARMING:SEE LEVEL FLOOD COASTAL AREAS
artseals	EFFECT OF GLOBAL WARMING:ARCTIC SEALS ARE THREATENED
inuitway	EFFECT OF GLOBAL WARMING:INUIT NO LONGER FOLLOW TRADITIONAL WAY OF LIFE
noicecap	EFFECT OF GLOBAL WARMING:NORTHERN ICE CAP MELT
caremost	MOST CONCERNED POSSIBLE EFFECT OF GLOBAL WARMING
nanotech	HOW MUCH R HEARD ABOUT NANOTECHNOLOGY
nanoknw1	TRUE-FALSE:NANOTECHNOLOGY MANIPULATE EXTREMELY SMALL UNITS
nanoknw2	TRUE-FALSE:NANOSCALE DIFFER FROM SAME MATERIAL AT LARGER SCALE
nanowill	BENEFIT OF NANOTECHNOLOGY OUTWEIGH HARMFUL RESULTS
buyvalue	PERCENT OF COMPANY STOCK R BOUGHT FROM OWN MONEY
ops2005		COMPANY GRANTED R STOCK OPTIONS IN 2005
extr2005	RECEIVED PERFORMANCE BASED PAYMENT IN 2005
compwage	ANNUAL WAGES IN 2005 WERE HIGHER THAN SAME JOBS IN OTHER COMPANIES
talkteam	IF EMPLOYEE NOT WORKING: TALK DIRECTLY TO THE EMPLOYEE
numorg		NUMBER OF PEOPLE WORKING IN ORGANIZATION AT ALL LOCATIONS
empinput	R INVOLVED IN ANY TASK FORCE FOR DECISION-MAKING
slfmangd	R INVOLVED IN A SELF-MANAGED TEAM
emptrain	RECEIVED FORMAL TRAINING FROM EMPLOYER
wealth		TOTAL WEALTH OF RESPONDENT
viglab06	X IS EXPERIENCING ALCHL DEPENDENCE  DEPRESSION SCHIZOPHRENIA
mhtrtoth	R PERSONALLY HAS KNOWN SOMEONE WHO RECEIVED TREATMENT
mhothyou	HOW MUCH DISTRESS HIS MENTAL HEALTH PROBLEM CAUSED R
mhothrel	RESULT OF MENTAL HEALTH PROBLEM TO RELATIONSHIP WITH HIM
seemhpub	HOW FREQUENTLY R SEES SOMEONE MENTALLY ILL IN PUBLIC
gesttalk	HOW OFTEN R SEE PEOPLE MAKING STRANGE GESTURE IN PUBLIC
avoidmh		R CHANGED SHOPPING PLACE DUE TO PRESENCE OF MENTALL ILL PPL
numknown	VARIABLE THAT DRIVES SKIPS IN MODULE
acqkevin	NUMBER OF KEVIN R IS ACQUAINTED WITH
acqkaren	NUMBER OF KAREN R IS ACQUAINTED WITH
acqlaws		NUMBER OF LAWYER R IS ACQUAINTED WITH
acqshawn	NUMBER OF SHAWN R IS ACQUAINTED WITH
acqbrnda	NUMBER OF BRENDA R IS ACQUAINTED WITH
acqsocs		NUMBER OF SOCIAL WORKER R IS ACQUAINTED WITH
acqkeith	NUMBER OF KEITH R IS ACQUAINTED WITH
acqchild	NUMBER OF CHILD CARE WORKER R IS ACQUAINTED WITH
acqrachl	NUMBER OF RACHEL R IS ACQUAINTED WITH
acqmark		NUMBER OF MARK R IS ACQUAINTED WITH
acqreps		NUMBER OF REPUBLICAN R IS ACQUAINTED WITH
acqlinda	NUMBER OF LINDA R IS ACQUAINTED WITH
acqmils		NUMBER OF PPL IN MILITARY SERVICE R IS ACQUAINTED WITH
acqjose		NUMBER OF JOSE R IS ACQUAINTED WITH
acqmyrac	PROPORTION OF SAME RACE AS R AMONG ALL AQUAINTANCES
acqmaria	NUMBER OF MARIA R IS ACQUAINTED WITH
acqnhasn	NUMBER OF ASIAN IN NEIGHBORHOOD
acqunemp	NUMBER OF PPL CURRENTLY UNEMPLOYED R IS ACQUAINTED WITH
acqnhblk	NUMBER OF BLACK IN NEIGHBORHOOD
acqhome		NUMBER OF PPL OWNING SECOND HOME R IS ACQUAINTED WITH
acqnhcoh	NUMBER OF COHABITING PPL IN NEIGHBORHOOD
acqprisn	NUMBER OF PPL IN PRISON R IS ACQUAINTED WITH
acqvaasn	NUMBER OF ASIAN IN VOLUNTARY ASSOCIATION
acqasian	NUMBER OF ASIAN R IS ACQUAINTED WITH
acqvablk	NUMBER OF BLACK IN VOLUNTARY ASSOCIATION
acqblack	NUMBER OF BLACK R IS ACQUAINTED WITH
acqjans		NUMBER OF JANITOR R IS ACQUAINTED WITH
acqhisp		NUMBER OF HISPANIC R IS ACQUAINTED WITH
acqnhgay	NUMBER OF GAY IN NEIGHBORHOOD
acqwhite	NUMBER OF WHITE R IS ACQUAINTED WITH
acqnhcon	NUMBER OF CONSERVATIVE IN NEIGHBORHOOD
acqvacoh	NUMBER OF COHABITING PPL IN VOLUNTARY ASSOCIATION
acqgay		NUMBER OF GAY R IS ACQUAINTED WITH
acqattnd	NUMBER OF RELUGAR CHURCH ATTENDEE R IS ACQUAINTED WITH
acqnhgo		NUMBER OF REGULAR CHURCH ATTENDEE IN NEIGHBORHOOD
acqcohab	NUMBER OF COHABITING PPL  R IS ACQUAINTED WITH
acqvacon	NUMBER OF CONSERVATIVE IN VOLUNTARY ASSOCIATION
acqnhhme	NUMBER OF PPL OWNING SECOND HOME IN NEIGHBORHOOD
acqgoatt	NUMBER OF REGULAR CHURCH ATTENDEE R IS ACQUAINTED WITH
acqvagay	NUMBER OF GAY IN VOLUNTARY ASSOCIATION
acqnhhsp	NUMBER OF HISPANIC IN NEIGHBORHOOD
acqnoatt	NUMBER OF NON CHURCH ATTENDEE R IS ACQUAINTED WITH
acqvago		NUMBER OF REGULAR CHURCH ATTENDEE IN VOLUNTARY ASSOCIATION
acqnhlib	NUMBER OF LIBERAL IN NEIGHBORHOOD
acqlib		NUMBER OF STRONG LIBERAL R IS ACQUAINTED WITH
acqvahme	NUMBER OF PPL OWNING SECOND HOME IN VOLUNTARY ASSOCIATION
acqnhlin	NUMBER OF LINDA IN NEIGHBORHOOD
acqcon		NUMBER OF STRONG CONSERVATIVE R IS ACQUAINTED WITH
acqwkasn	NUMBER OF ASIAN IN CURRENT OR PREVIOUS WORK
acqvahsp	NUMBER OF HISPANIC IN VOLUNTARY ASSOCIATION
acqnhmrk	NUMBER OF MARK IN NEIGHBORHOOD
acqwkblk	NUMBER OF BLACK IN CURRENT OR PREVIOUS WORK
acqvalib	NUMBER OF LIBERAL IN VOLUNTARY ASSOCIATION
acqvalin	NUMBER OF LINDA IN VOLUNTARY ASSOCIATION
acqwkcoh	NUMBER OF COHABITING PPL IN CURRENT OR PREVIOUS WORK
acqwkcon	NUMBER OF STRONG CONSERVATIVE IN CURRENT OR PREVIOUS WORK
acqnhno		NUMBER OF NON CHURCH ATTENDEE IN NEIGHBORHOOD
acqnhpri	NUMBER OF PPL IN PRISON IN NEIGHBORHOOD
acqvamrk	NUMBER OF MARK IN VOLUNTARY ASSOCIATION
acqnhune	NUMBER OF PPL UNEMPLOYED IN NEIGHBORHOOD
acqwkgay	NUMBER OF GAY IN CURRENT OR PREVIOUS WORK
acqvano		NUMBER OF NON CHURCH ATTENDEE IN VOLUNTARY ASSOCIATION
acqwkgo		NUMBER OF REGULAR CHURCH ATTENDEE IN CURRENT OR PREVIOUS WORK
acqcops		NUMBER OF POLICE OFFICER R IS ACQUAINTED WITH
acqnhwht	NUMBER OF WHITE IN NEIGHBORHOOD
acqvapri	NUMBER OF PPL IN PRISON IN VOLUNTARY ASSOCIATION
acqwkhme	NUMBER OF PPL OWNING SECOND HOME IN CURRENT OR PREVIOUS WORK
acqdems		NUMBER OF DEMOCRAT R IS ACQUAINTED WITH
acqvaune	NUMBER OF UNEMPLOYED PPL IN VOLUNTARY ASSOCIATION
acqwkhsp	NUMBER OF HISPANIC IN CURRENT OR PREVIOUS WORK
acqelecs	NUMBER OF ELECTRICIAN R IS ACQUAINTED WITH
acqvawht	NUMBER OF WHITE IN VOLUNTARY ASSOCIATION
acqwklib	NUMBER OF STRONG LIBERAL IN CURRENT OR PREVIOUSWORK
acqfmasn	NUMBER OF ASIAN FAMILY MEMBER
acqwklin	NUMBER OF LINDA IN CURRENT OR PREVIOUS WORK
acqfmblk	NUMBER OF BLACK FAMILY MEMBER
acqwkmrk	NUMBER OF MARK IN CURRENT OR PREVIOUS WORK
acqfmcoh	NUMBER OF COHABITING FAMILY MEMBER
acqwkno		NUMBER OF NON CHURCH ATTENDEE IN CURRENT OR PREVIOUS WORK
acqfmcon	NUMBER OF CONSEVATIVE IN FAMILY MEMBER
acqwkpri	NUMBER OF PPL IN PRISON IN CURRENT OR PREVIOUS WORK
acqfmgay	NUMBER OF GAY FAMILY MEMBER
acqwkune	NUMBER OF PPL UNEMPLOYED IN CURRENT OR PREVIOUS WORK
acqfmgo		NUMBER OF FAMILY MEMBER GOING CHURCH REGULARLY
acqwkwht	NUMBER OF WHITE IN CURRENT OR PREVIOUS WORK
acqfmhme	NUMBER OF FAMILY MEMBER OWNING SECOND HOME
acqfmhsp	NUMBER OF HISPANIC FAMILY MEMBER
acqfmlib	NUMBER OF LIBERAL IN FAMILY MEMBER
acqfmlin	NUMBER OF FAMILY MEMBER NAMED LINDA
acqfmmrk	NUMBER OF FAMILY MEMBER NAMED MARK
acqfmno		NUMBER OF FAMILY MEMBER NOT GOING CHURCH
acqfmpri	NUMBER OF FAMILY MEMBER IN PRISON
acqfmune	NUMBER OF UNEMPLOYED FAMILY MEMBER
acqfmwht	NUMBER OF WHITE FAMILY MEMBER
gunsales	SHOULD BACKGROUND CHECK BE REQUIRED FOR PRIVATE GUN SALE
gunsdrug	SHOULD PENALITY FOR ILLEGAL GUN SALE BE TOUGHER THAN DRUG
semiguns	SHOULD SEMI-AUTO GUN SALE BE LIMITED TO MILITARY
guns911		SHOULD GUN CONTROL LAW BE STRICTER AFTER 911
rifles50	SHOULD HIGH POWER RIFLE SALE BE LIMITED TO MILITARY
othguns		NUMBER OF ADULT OWING A GUN IN HOUSEHOLD
gunsdrnk	SHOULD CARRYING A FIREARM DRINKING ALCOHOL BE ILLEGAL
spnatdis	SHOULD GOVT SPEND MORE OR LESS ON NATURAL DISASTERS
natdisin	SHOULD HELPING PPL IN NATURAL DISASTER BE GOVT RESP
natdiscm	SHOULD REBUILDING COMMUNITY IN DISASTER BE GOVT RESP
newsprnt	HOW OFTEN DOES R READ TRADITIONAL NEWSPAPER
getaheay	OPINION OF WHY PEOPLE GET AHEAD
disabld1	R HAS A HEARING PROBLEM
disabld2	R HAS A VISION PROBLEM
disabld3	R HAS A PHYSICAL DISABILITY
disabld4	R HAS OTHER PHYSICAL DISABILITY
disabld5	R HAS EMOTIONAL OR MENTAL DISABILITY
disabld6	R HAS DIFFICULTY IN LEARNING REMEMBERING OR CONCENTRATING
disabld7	R HAS DIFFICULTY IN DAILY ACTIVITIES
vigvermy	VIGNETTE VERSION
mhproblm	How serious X s situation is
mhdofam		What X should do:Talk to Family
mhdofrnd	What X should do:Talk to Friends
mhdorel		What X should do:Talk to Relig Leader
mhdodoc		What X should do:Go to Doctor
mhdopsyc	What X should do:Go to Psychiatrist
mhdomhp		What X should do:Go to Counselor
mhdoheal	What X should do:Go to Spritual Healer
mhdootc		What X should do:Take Non-Prescription Medication
mhdorx		What X should do:Take Prescription Medication
mhdohosp	What X should do:Check into a Hospital
mhdopray	What X should do:Pray
mhdolife	What X should do:Change Lifestyle
mhdoherb	What X should do:Take Herbs
mhdofrgt	What X should do:Try to Forget
mhdoactv	What X should do:Get Involved in Other Activities
mhdogrp		What X should do:Get Involved in a Group
mhdodiet	What X should do:Eat Better
mhdoexrc	What X should do:Start Exercising
mhdomove	What X should do:Move to Another Location
mhdooth		What X should do:Other Mentions
mhdonone	What X should do:Nothing
mhchrctr	X s stuation caused by: Bad Character
mhbrain		X s stuation caused by: Brain Disease
mhraised	X s stuation caused by: the Way Raised
mhstress	X s stuation caused by: Stress
mhgenes		X s stuation caused by: Genetic Problem
mhgod		X s stuation caused by: God s Will
mhluck		X s stuation caused by: Bad Luck
mhupdown	X is experiencing Normal Ups-and-Downs of Life
mhillnss	X is experiencing Mental Illness
mhphyscl	X is experiencing Physical Illness
mhneihbr	R Would Have X as a Neighbor
mhsocial	R Would Spend Time Socializing with X
mhkdcare	R Would Have X Care for Your Children
mhfriend	R Would Make Friends with X
mhwkwith	R Would Work Closely with X on a Job
mhwedrel	R Would have X Marry Someone Related to You
mhimpown	How Likely X s Situation will improve on its own
mhimptrt	How Likely X s Situation will improve with treatment
mhdecslf	How Able Is X to Decide Whether to Receive Treatment
mhmoney		How Able Is X to Decide on Managing Own Money
mhoutsdr	Getting Treatment would Make X Outsider in Community
mhlosefr	X would Lose Friends if People Know his her Treatment
mhlessop	X s Opportunities Limited if people Know his her Treatment
mhuneasy	Being around X would Make Me Feel Uncomfortable
mhunsure	People like X are Unpredictable
mhintl		People like X are just as Intelligent as Anyone else
mhnotpol	People like X shldn t be Allowed to Hold Public Office
mhhrdtlk	People like X are Hard to Talk to
mhnokids	People like X shldn t be Allowed to Have Children
mhcreatv	People like X are More Creative than Others
mhnervs		Being around X would Make Me Feel Nervous
mhprdctv	People like X are just as Productive as Others
mhfeelem	X should Feel Embarrassed
mhtrusty	People like X are just as Trustworthy as Anyone else
mhaccptd	Person like X has no Hope of Being Accepted as Member
mhhired		X should be Hired like Others
mhnotell	X should Feel Afraid to Tell about his Situation
mhsecret	X s Family Better Off if Kept Secret
mhsupwrk	People like X shldn t be Allowed to Supervise Others at Work
mhnotch		People like X shldn t be Allowed to Teach Children.
mhhlpfam	How Important: Turn to Family for Help
mhhlpfrd	How Important: Turn to Friends for Help
mhhlprel	How Important: Turn to Religious Leader
mhhlpgp		How Important: Go to Medical Doctor for Help
mhhlppsy	How Important: Go to Psychiatrist for Help
mhhlpmhp	How Important: Go to Mental Health Professional
mhgvtjob	Govt Responsibility: Provide Job for X
mhgvthlt	Govt Responsibility: Provide Health Care for X
mhgvthme	Govt Responsibility: Provide Housing for X
mhgvtedc	Govt Responsibility: Provide Financial Help for Education
mhgvtdis	Govt Responsibility: Provide Disability Benefits for X
mhslfshm	X should be Ashamed to Receive Govt Assistance
mhfamshm	X Family should be Ashamed to Receive Govt Assistance
mhseedoc	X Should be Forced to be Examined at a Clinic by Law
mhmeds		X Should be Forced to Take Prescribed Medication by Law
mhhsptrt	X should be Forced to be Hospitalized for Treatment by Law
mhmnthsp	X should be Forced to Go to Mental Hospital by Law
mhviooth	How Likely X Violent toward Other People
mhvioslf	How Likely X Violent toward Him Herself
mhcause		What Caused X s Situation
mhtrtot2	R Knows Someone who Received Treatment for Mental Health
mhclsoth	Closeness to Person with Mental Health Problem
mhseroth	How Serious his her Mental Health Problem was
mhhlpoth	How the Treatment Helped him/her with Mental Health Problem
mhresoth	How Much ResponsibiIity R had for this person
mhdisoth	How Much Distress this person caused R
mhreloth	Relationship with this person as a result of Mental Health Problem
mhexpoth	Effect of Experiences with this person
mhtrtslf	R Have ever personally received treatment for mental health problem
mhseepub	How often R sees someone with mental health problem in public places
mhfright	How frightening most people are in public places
mhsymp		How much R feels sympathy for ppl with mental hlth problm in public places
obeylaw		SHOULD PEOPLE OBEY LAWS WITHOUT EXCEPTN?
protest1	ALLOW PUBLIC MEETINGS PROTESTING GOVT.
protest3	ALLOW DEMONSTRATIONS PROTESTING GOVT.
protest6	ALLOW NATIONAL ANTI-GOVT STRIKE.
revspeak	ALLOW REVOLUTIONARY PUBLIC MEETINGS.
revpub		ALLOW REVOLUTIONARIES TO PUBLISH BOOKS.
verdict		WORSE TYPE OF JUDICIAL MISTAKE.
databank	COMPUTER DATA THREAT TO INDIVIDL PRIVACY
poleff3		AVG PERSON CAN INFLUENCE POLITICIANS.
cutgovt		CUTS IN GOVT SPENDING.
makejobs	GOVT CREATE NEW JOBS.
lessreg		LESS GOVT REGULATION OF BUSINESS.
hlphitec	GOVT SUPPORT FOR NEW PRODUCTS AND TECH.
savejobs	GOVT SUPPORT FOR DECLINING INDUSTRIES.
cuthours	REDUCTION IN LENGTH OF WORK WEEK.
spenviro	GOVT SPENDING ON ENVIRONMENT.
sphlth		GOVT SPENDING ON HEALTH.
sppolice	GOVT SPENDING ON LAW ENFORCEMENT.
spschool	GOVT SPENDING ON EDUCATION.
sparms		GOVT SPENDING ON DEFENSE.
spretire	GOVT SPENDING ON RETIREMENT BENEFITS.
spunemp		GOVT SPENDING ON UNEMPLOYMENT BENEFITS.
sparts		GOVT SPENDING ON CULTURE AND THE ARTS.
jobsall		GOVTS RESP: PROVIDE JOBS FOR ALL.
pricecon	GOVTS RESP: KEEP PRICES UNDER CONTROL.
hlthcare	GOVTS RESP: PROVIDE HLTH CARE FOR SICK
aidold		GOVTS RESP: PROVIDE FOR THE ELDERLY.
aidindus	GOVTS RESP: ASSIST INDUSTRIAL GROWTH.
aidunemp	GOVTS RESP: PROVIDE FOR THE UNEMPLOYED.
equalize	GOVTS RESP: REDUCE INCOME DIFFERENCES.
aidcol		GOV. SHOULD ASSIST LOW-INCOME COLLEGE STUDENT
aidhouse	GOV. SHOULD PROVIDE HOUSING TO POOR
polint		YOUR INTEREST IN POLITICS.
grnlaws		GOV RESP TO TO MAKE INDUSTRY LESS DAMAGING
poleff11	DON'T HAVE ANY SAY ABOUT WHAT THE GOVERNMENT DOES
poleff13	HAVE A PRETTY GOOD UNDERSTANDING OF ISSUES
poleff15	MOST PEOPLE BETTER INFORMED ABOUT POLITICS THAN I
poleff16	PEOPLE ELECTED TO CONGRESS TRY TO KEEP PROMISES
